response_id,primary_specialty,officer_rank,year_executed_order,billet_current,order_lag_in_months,transparency_rank,satistfaction_rank,favoritism_rank,assignment_current,geographic_preference,career_path,doctor_as_detailer,homestead_length_in_years,homestead_problem,match_desirability,match_month,assignment_preference,officer_rank_preference
15,Emergency Medicine,CDR,2015,Non-Operational/Non-Clinical,2-4 months,3,4,3,1st choice,Southern California,Academic Medicine,Yes,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,No
20,Allergy/Immunology,CDR,NA,CONUS MTF,2-4 months,5,5,5,2nd choice,Southern California,Executive Medicine,Do not care,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Feb-17,No,Yes
21,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,OB/GYN,CAPT or Flag,2016,Non-Operational/Non-Clinical,2-4 months,NA,2,1,> 4th choice,Europe,Executive Medicine,No,2 tours (~6 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
19,Emergency Medicine,CDR,2016,CONUS MTF,> 4 months,5,5,4,1st choice,Northeast,Executive Medicine,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
33,Emergency Medicine,LCDR,NA,NA,2-4 months,3,3,2,2nd choice,Southern California,NA,No,2 tours (~6 years),Yes,NA,Jan-17,Yes,Yes
38,Ophthalmology,LCDR,NA,CONUS MTF,NA,4,4,3,Other,"Southeast (North Carolina, Florida)",Executive Medicine,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,NA,No
45,Anesthesiology,LCDR,NA,CONUS MTF,> 4 months,3,4,2,1st choice,Southern California,Academic Medicine,Do not care,Other,Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,NA
23,Family Medicine,LT,2016,OCONUS MTF,NA,2,3,4,1st choice,"Southeast (North Carolina, Florida)",Mixed,Do not care,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
24,Pathology,CDR,2015,CONUS MTF,2-4 months,4,5,4,1st choice,Europe,Academic Medicine,Do not care,2 tours (~6 years),Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,No,Yes
25,Aviation Medicine (Flight Surgery GMO),LT,2015,CONUS Operational,NA,4,3,3,1st choice,Pacific Northwest,Academic Medicine,Do not care,4 tours (~12 years),No,Something similar to the National Residency Match Program,Aug-16,No,No
26,Pathology,CDR,2015,OCONUS MTF,2-4 months,2,3,3,1st choice,Europe,Mixed,No,4 tours (~12 years),Other,Something similar to the National Residency Match Program,Dec-16,NA,NA
27,Emergency Medicine,LCDR,2015,GME,2-4 months,4,4,1,2nd choice,Europe,Operational Medicine,No,1 tour (~3 years),Yes,Other,Jan-17,Yes,Yes
28,Family Medicine,LCDR,2014,CONUS Operational,> 4 months,4,5,4,1st choice,Europe,Executive Medicine,No,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Oct-16,Yes,Yes
57,Aviation Medicine (Flight Surgery GMO),LCDR,2014,Non-Operational/Non-Clinical,NA,2,1,NA,> 4th choice,"Pacific (Hawaii, Guam, Japan)",Operational Medicine,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No
