Response ID,Include/Exclude,Date submitted,Last page,Start language,Date started,Date last action,What is your primary specialty-,What is your primary specialty- [Other],What is your rank-,What year did you execute orders for your current billet-  (Consider retour orders the same as a PCS set of orders.),What year did you execute orders for your current billet-  (Consider retour orders the same as a PCS set of orders.) [Other],How would you describe your current billet-,How would you describe your current billet- [Other],"For your last set of orders, how many months prior to your move were your orders released-  That is, how many months did you have to prepare for your PCS-","For your last set of orders, how many months prior to your move were your orders released-  That is, how many months did you have to prepare for your PCS- [Other]","On a scale of 1 to 5, with 1 being not transparent and 5 being very transparent, how would you rate the transparency of your detailing experience for your last set of orders-","On a scale of 1 to 5, with 1 being unsatisfied and 5 being very satisfied, how would you rate your overall detailing experience for your last set of orders-","On a scale of 1 to 5, with 1 representing a significant problem and 5 being not a problem at all, how would you rank the problem of favoritism in the billet assignment process-",Describe your current assignment:,"Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 1]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 2]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 3]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 4]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 5]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 6]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 7]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 8]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 9]",Which career path do you want to pursue in the next 5-10  years-,Which career path do you want to pursue in the next 5-10  years- [Other],"Neither the Army nor the Air Force have physicians in the detailer role.  Instead, they have nurses or medical administrators work with specialty leaders to determine assigments.  This is different from the current Navy Medical Corps billet assignment process where the detailer is a physician*.  Would you approve if the detailer position was filled by a non-physician-",How long should an individual be allowed to remain at one command-,"Do you think that there is a problem in the Medical Corps with members not moving-  That is, are there too many physicians who get to stay in one place too long-","Civilian medical residency positions are assigned using the National Residency Match Program where members submit a preference list, residency directors submit a preference list, and a computer algorithm optimizes a match.  This is different from the current Navy Medical Corps billet assignment process where the detailer and specialty leader take input from medical officers and then make a decision.  Of these two options, which would you prefer for your military billet assignment-","The later the match day, the more information one has before creating their rank list.  The earlier the match day, the sooner one can have certainty and prepare.  Assuming your were scheduled to execute new orders in July of 2017, what month would you want the match to occur in-",Do you think members who are coming from operational or OCONUS assignments should be given preference in billet assignment-,Do you think members with more seniority (as defined by time in service or rank) should be given preference in billet assignment-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,I,8/18/16 15:53,4,en,8/18/16 15:38,8/18/16 15:53,Emergency Medicine,,CDR,2015,,Non-Operational/Non-Clinical,,2-4 months,,3,4,3,1st choice,Southern California,Europe,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Middle East or Africa,Northeast,Academic Medicine,,Yes,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,I,8/19/16 20:31,4,en,8/19/16 20:24,8/19/16 20:31,Allergy/Immunology,,CDR,,,CONUS MTF,,2-4 months,,5,5,5,2nd choice,Southern California,"Southeast (North Carolina, Florida)",Europe,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,Northeast,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Middle East or Africa,Executive Medicine,,Do not care,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Feb-17,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,I,8/19/16 20:32,4,en,8/19/16 20:32,8/19/16 20:32,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,I,8/19/16 13:52,4,en,8/19/16 13:44,8/19/16 13:52,OB/GYN,,CAPT or Flag,2016,,Non-Operational/Non-Clinical,,2-4 months,,,2,1,> 4th choice,Europe,Southern California,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,"Southeast (North Carolina, Florida)",Northeast,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Executive Medicine,,No,2 tours (~6 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,I,8/19/16 14:01,4,en,8/19/16 13:58,8/19/16 14:01,Emergency Medicine,,CDR,2016,,CONUS MTF,,> 4 months,,5,5,4,1st choice,Northeast,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Europe,Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",Middle East or Africa,Executive Medicine,,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,I,8/20/16 11:13,4,en,8/20/16 11:07,8/20/16 11:13,Emergency Medicine,,LCDR,,,,,2-4 months,,3,3,2,2nd choice,Southern California,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Europe,"Pacific (Hawaii, Guam, Japan)",Northeast,"Southeast (North Carolina, Florida)",National Capital Region,Middle East or Africa,,,No,2 tours (~6 years),Yes,,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,I,8/20/16 11:28,4,en,8/20/16 11:24,8/20/16 11:28,Ophthalmology,,LCDR,,,CONUS MTF,,,,4,4,3,Other,"Southeast (North Carolina, Florida)",Southern California,Pacific Northwest,Northeast,"Pacific (Hawaii, Guam, Japan)",Europe,National Capital Region,Middle East or Africa,"Tidewater Region (Portsmouth, Norfolk)",Executive Medicine,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,I,8/20/16 12:08,4,en,8/20/16 12:03,8/20/16 12:08,Anesthesiology,,LCDR,,,CONUS MTF,,> 4 months,,3,4,2,1st choice,Southern California,Europe,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",National Capital Region,Northeast,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Academic Medicine,,Do not care,Other,Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,I,8/20/16 10:50,4,en,8/20/16 10:37,8/20/16 10:50,Family Medicine,,LT,2016,,OCONUS MTF,,< 1 month,,2,3,4,1st choice,"Southeast (North Carolina, Florida)",Europe,"Pacific (Hawaii, Guam, Japan)",National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Northeast,Southern California,Pacific Northwest,Middle East or Africa,Mixed,,Do not care,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,I,8/20/16 11:05,4,en,8/20/16 10:39,8/20/16 11:05,Pathology,,CDR,2015,,CONUS MTF,,2-4 months,,4,5,4,1st choice,Europe,"Pacific (Hawaii, Guam, Japan)",Southern California,Pacific Northwest,Northeast,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,"Southeast (North Carolina, Florida)",Middle East or Africa,Academic Medicine,,Do not care,2 tours (~6 years),Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
